,,,,,,,,,,,,
Jo,Jo,Equipo_local,Equipo_visitante,Fecha,Hora,Pabellon,Categoria,Grupo,Sexo,1er Arbitro,2º Árbitro,Anotador/a
9497,1,AD Medina Cauria ,AD Escuelas Cacereñas de Voleibol ,2025-10-18 (Sabado),, (Coria),SENIOR,GrupoNorte,Femenino,APLAZADO,,
9527,1,Club Voleibol A7 ,AD Lacimurga Vb ,2025-10-18 (Sabado),17:00,Pab. Juancho Perez (Badajoz),SENIOR,Grupo Unico,Masculino,José Vazquez,Antonio Gat,
9498,1,CP Licenciados Reunidos ,Club Polideportivo Brocense ,2025-10-18 (Sabado),18:30,Pab. Colegio Licenciados Reunidos (Cáceres),SENIOR,GrupoNorte,Femenino,Melisa Cintero,Felix Gonzalez,
9513,1, + Voley Badajoz,Club Pacense Voleibol ,2025-10-18 (Sabado),19:00,Pab. Juancho Perez (Badajoz),SENIOR,GrupoSur,Femenino,José Vazquez,Antonio Gat,
9499,1,CV Ntra. Sra. de la Luz ,AD Moraleja Voleibol ,2025-10-19 (Domingo),12:00, (Arroyo de la Luz),SENIOR,GrupoNorte,Femenino,José Vazquez,Felix Gonzalez,
9514,1,CV Almendralejo ,Club Voleibol A7 ,2025-10-19 (Domingo),12:30,Pabellón San Roque (Almendralejo),SENIOR,GrupoSur,Femenino,Luis Bravo,Luis Romo,García Morales
9512,1,AD Voleibol Ribera ,Asociación Deportiva Voleibol Miajadas ,2025-10-19 (Domingo),16:45, (Ribera del Fresno),SENIOR,GrupoSur,Femenino,Luis Romo,Luis Bravo,García Morales
9842,1,CV Almendralejo ,Club Pacense Voleibol ,2025-10-19 (Domingo),11:00,Pabellón San Roque (Almendralejo),SENIOR,Grupo Unico,Masculino,Luis Romo,Luis Bravo,
9066,2,Club Voleibol A7 B,Club Deportivo Voleibol Zurbarán A,2025-10-14 (Martes),18:15,Pabellón Juancho Pérez (Badajoz),INFANTIL,Grupo2,Femenino,Alicia García,,
9424,2,Club Voleibol A7 B,Club Deportivo Voleibol Zurbarán ,2025-10-14 (Martes),19:30,Pabellón Juancho Pérez (Badajoz),JUVENIL,Grupo2,Femenino,Alicia García,,
